汉语,英语,概率
受领,accreditee,1.0
西班牙文,adios,1.0
字母数字的,alphanumeric,1.0
采写,assignment,1.0
伯利兹,belize,1.0
领头羊,bellwether,1.0
出生地点,birthplace,1.0
电脑化,cyberspace,1.0
搬运费,cartage,1.0
小箱,casket,1.0
索赔人,claimee,1.0
封面女郎,covergirl,1.0
控制论,cybernetics,1.0
网络空间,cyberspace,1.0
截稿,deadline,1.0
姝,diabolique,1.0
运球,dribble,1.0
糟粕,dross,1.0
安乐死,euthanasia,1.0
免费软件,freeware,1.0
网关,gateway,1.0
创世,genesis,1.0
问候语,greeting,1.0
中缝,gutter,1.0
金属制品,hardware,1.0
易燃品,inflammable,1.0
资不抵债,insolvency,1.0
口译员,interpreter,1.0
坎儿井,karez,1.0
毫微秒,nanosecond,1.0
谋略,outmaneuver,1.0
资本额,overcapalisation,1.0
人浮于事,overstaff,1.0
投寄,post,1.0
左倾,pinko,1.0
有销路,popular,1.0
打印输出,printout,1.0
招股,prospectus,1.0
翻两番,quadruple,1.0
险别,risk,1.0
共享软件,shareware,1.0
花絮,sidebar,1.0
附加费,surcharge,1.0
制表机,tabulator,1.0
皮重,tare,1.0
三个,three,0.9294432664815107
土壤,soil,0.9185588028330809
水泥,cement,0.9126250727548452
英语,english,0.907299500309341
现代,modern,0.8961136017155167
两,two,0.8911410918138115
乔治,george,0.8894076464094482
玻璃,glass,0.8880168827092886
新,new,0.8876448748856381
小姐,miss,0.8868763714802753
杰克,jack,0.8857512605895829
她那,her,0.8856288119045028
旧,old,0.8854403895020543
黑色,black,0.8827235237843862
或者,or,0.8822904264628388
比尔,bill,0.8779196458302561
服务器,server,0.8772497807535321
能量,energy,0.8765272349243868
头发,hair,0.8764164338155132
棉花,cotton,0.8741909034856574
她的,her,0.8734763771066603
红色,red,0.8733984791924433
白色,white,0.8728318130789726
红,red,0.8716315391510242
牛肉,beef,0.8701731405202572
三,three,0.8688295042654158
史密斯,smith,0.8672201649587147
官方,official,0.8665085790978162
巴黎,paris,0.8659971564891613
王,wang,0.8647532829748311
新的,new,0.8642372518726166
军事,military,0.8639916287922493
黄油,butter,0.8634697923958994
圣诞,christmas,0.8624642106055369
数据,data,0.8613748838473744
父母,parents,0.8597946348663018
大卫,david,0.8593971101038677
布朗,brown,0.8593654160905193
外国,foreign,0.8584096887975224
软件,software,0.8577113459779102
伦敦,london,0.8574056954117828
它,it,0.857078402061987
鹿,deer,0.8565435653623841
先生,mr,0.8564660718716279
更多的,more,0.8551180440381045
城镇,town,0.854299155023989
彼,peter,0.8541157324662789
昨天,yesterday,0.853526037107463
碳,carbon,0.852393929209543
或,or,0.8521374314017
钱,money,0.8500758242952897
并且,and,0.8499292826021481
食物,food,0.8494797968091587
蓝色,blue,0.8493061583171164
巴巴多斯,barbados,0.848131238354324
法语,french,0.8477214654430791
吉姆,jim,0.8466050953766149
家具,furniture,0.8453322503870403
柔软,soft,0.8447171797602205
约翰逊,johnson,0.8443671666008672
音乐,music,0.8442914059356671
及,and,0.8442856753602244
这儿,here,0.8436003129281736
橡胶,rubber,0.843246103700282
芝加哥,chicago,0.8426520835752077
空气,air,0.842287293821625
串户,door,0.8421013772000332
鱼,fish,0.8408759767303929
重量,weight,0.8405960673677767
咖啡,coffee,0.8396903965194558
牛奶,milk,0.8394324930050531
上尉,captain,0.8392465989057496
早餐,breakfast,0.8387959478897008
在这里,here,0.8376468178623518
友谊,friendship,0.8372767103430718
医院,hospital,0.8354217939722703
夏天,summer,0.8346698527015463
有时,sometimes,0.8344695755227064
亨利,henry,0.8341237891707521
面粉,flour,0.8336239849310476
或有,or,0.833493494827355
树叶,leaves,0.8330696915295956
但是,but,0.831867792543808
通货膨胀,inflation,0.8310805098766229
煤,coal,0.8302796813255261
秘书,secretary,0.8301096896170328
金钱,money,0.830039530049815
但,but,0.8299565916025033
政策,policy,0.8295548708113741
和,and,0.8286028684968493
这里,here,0.8285488946251335
从不,never,0.8264121702607891
皮肤,skin,0.8254266880438874
街,street,0.8253010214009732
钢笔,pen,0.825125590510127
电视,television,0.8239114463895164
上帝,god,0.8238288397111085
鼻子,nose,0.8232605787592999
